edgeID,startNode,endNode
ESTAI00104_EHALL00704,ESTAI00104,EHALL00704
EHALL00704_EDEPT00104,EHALL00704,EDEPT00104
EHALL00704_EHALL00604,EHALL00704,EHALL00604
EHALL00604_ECONF00104,EHALL00604,ECONF00104
EHALL00604_EHALL00504,EHALL00604,EHALL00504
EHALL00504_EDEPT00204,EHALL00504,EDEPT00204
EHALL00504_EHALL00404,EHALL00504,EHALL00404
EHALL00404_ECONF00104,EHALL00404,ECONF00104
EHALL00404_ESTAI00204,EHALL00404,ESTAI00204
ESTAI00204_EHALL00304,ESTAI00204,EHALL00304
EHALL00304_EDEPT00304,EHALL00304,EDEPT00304
EHALL00304_EREST00104,EHALL00304,EREST00104
EDEPT00304_EDEPT00404,EDEPT00304,EDEPT00404
EREST00104_EHALL00204,EREST00104,EHALL00204
EHALL00204_ESERV00104,EHALL00204,ESERV00104
EHALL00204_EHALL00104,EHALL00204,EHALL00104
EHALL00104_ESERV00204,EHALL00104,ESERV00204
EHALL00104_ECONF00204,EHALL00104,ECONF00204
EHALL00104_EHALL01804,EHALL00104,EHALL01804
EHALL01804_EHALL00804,EHALL01804,EHALL00804
EHALL00804_EDEPT00704,EHALL00804,EDEPT00704
EHALL00804_EHALL00904,EHALL00804,EHALL00904
EHALL00904_ELABS00104,EHALL00904,ELABS00104
EHALL00904_EHALL01004,EHALL00904,EHALL01004
EHALL01004_EDEPT00704,EHALL01004,EDEPT00704
EHALL01004_EDEPT00604,EHALL01004,EDEPT00604
EHALL01004_EHALL01104,EHALL01004,EHALL01104
EHALL01104_ELABS00204,EHALL01104,ELABS00204
EHALL01104_ESTAI00304,EHALL01104,ESTAI00304
ESTAI00304_ELABS00304,ESTAI00304,ELABS00304
ESTAI00304_EHALL01204,ESTAI00304,EHALL01204
EHALL01204_EDEPT00804,EHALL01204,EDEPT00804
EHALL01204_ESERV00304,EHALL01204,ESERV00304
EHALL01204_EHALL01304,EHALL01204,EHALL01304
EHALL01304_ESERV00504,EHALL01304,ESERV00504
EHALL01304_ESERV00604,EHALL01304,ESERV00604
EHALL01304_EHALL01404,EHALL01304,EHALL01404
EHALL01404_ESERV00704,EHALL01404,ESERV00704
EHALL01404_EHALL01504,EHALL01404,EHALL01504
EHALL01504_ESERV00804,EHALL01504,ESERV00804
EHALL01504_ESERV00404,EHALL01504,ESERV00404
EHALL01504_EHALL01604,EHALL01504,EHALL01604
EHALL01604_EDEPT00904,EHALL01604,EDEPT00904
EHALL01604_EDEPT01004,EHALL01604,EDEPT01004
EHALL01604_EHALL01704,EHALL01604,EHALL01704
EHALL01704_ELABS00404,EHALL01704,ELABS00404
EHALL01704_ESERV00904,EHALL01704,ESERV00904
EHALL01704_ESTAI00404,EHALL01704,ESTAI00404
ESTAI00404_ELABS00504,ESTAI00404,ELABS00504
EHALL01804_EDEPT00504,EHALL01804,EDEPT00504
EHALL01804_EHALL01904,EHALL01804,EHALL01904
EHALL01904_EELEV00Y04,EHALL01904,EELEV00Y04
EHALL01904_EELEV00Z04,EHALL01904,EELEV00Z04
EHALL01904_ESTAI00504,EHALL01904,ESTAI00504
ESTAI00504_EDEPT01104,ESTAI00504,EDEPT01104
ESTAI00504_EHALL02004,ESTAI00504,EHALL02004
EHALL02004_EDEPT01204,EHALL02004,EDEPT01204
EHALL02004_ESERV01004,EHALL02004,ESERV01004
EHALL02004_EHALL02104,EHALL02004,EHALL02104
EHALL02104_ESERV01104,EHALL02104,ESERV01104
EHALL02104_EHALL02204,EHALL02104,EHALL02204
EHALL02204_EDEPT01304,EHALL02204,EDEPT01304
EHALL02204_EHALL02304,EHALL02204,EHALL02304
EHALL02304_EDEPT01504,EHALL02304,EDEPT01504
EHALL02304_EHALL02404,EHALL02304,EHALL02404
EHALL02404_EDEPT01404,EHALL02404,EDEPT01404
EHALL02404_EHALL02504,EHALL02404,EHALL02504
EHALL02504_EDEPT01504,EHALL02504,EDEPT01504
EHALL02504_ESERV01204,EHALL02504,ESERV01204
EHALL02504_EHALL02704,EHALL02504,EHALL02704
EHALL02704_EHALL02604,EHALL02704,EHALL02604
EHALL02604_EELEV00X04,EHALL02604,EELEV00X04
EHALL02604_ESTAI00604,EHALL02604,ESTAI00604
EHALL02604_EREST00204,EHALL02604,EREST00204
EREST00204_EHALL03104,EREST00204,EHALL03104
EHALL02704_EHALL02804,EHALL02704,EHALL02804
EHALL02804_EHALL02904,EHALL02804,EHALL02904
EHALL02904_EDEPT01604,EHALL02904,EDEPT01604
EHALL02904_EHALL03004,EHALL02904,EHALL03004
EHALL03004_EDEPT02004,EHALL03004,EDEPT02004
EHALL03004_EHALL03104,EHALL03004,EHALL03104
EHALL03104_EHALL03204,EHALL03104,EHALL03204
EHALL03204_EDEPT01904,EHALL03204,EDEPT01904
EHALL03204_EHALL03304,EHALL03204,EHALL03304
EHALL03304_EDEPT01804,EHALL03304,EDEPT01804
EHALL03304_EHALL03404,EHALL03304,EHALL03404
EHALL03404_EDEPT01704,EHALL03404,EDEPT01704
EHALL03404_EHALL03504,EHALL03404,EHALL03504
EHALL03504_EHALL02704,EHALL03504,EHALL02704
