nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
EELEV00X04,1214,410,4,Faulkner,ELEV,Elevator X,Elv X,E
EELEV00Y04,1187,1159,4,Faulkner,ELEV,Elevator Y,Elv Y,E
EELEV00Z04,1318,1148,4,Faulkner,ELEV,Elevator Z,Elv Z,E
EREST00104,910,1215,4,Faulkner,REST,Bathroom 1,Bath1,E
EREST00204,1250,343,4,Faulkner,REST,Bathroom 2,Bath2,E
ESTAI00104,188,1220,4,Faulkner,STAI,Stairwell 1,Stair1,E
ESTAI00204,721,1220,4,Faulkner,STAI,Stairwell 2,Stair2,E
ESTAI00304,1778,1215,4,Faulkner,STAI,Stairwell 3,Stair3,E
ESTAI00404,2294,1215,4,Faulkner,STAI,Stairwell 4,Stair4,E
ESTAI00504,1250,1035,4,Faulkner,STAI,Stairwell 5,Stair5,E
ESTAI00604,1285,416,4,Faulkner,STAI,Stairwell 6,Stair6,E
EDEPT00104,264,1267,4,Faulkner,DEPT,Medical Records,MR,E
EDEPT00204,444,1155,4,Faulkner,DEPT,Urology,Uro,E
EDEPT00304,875,1150,4,Faulkner,DEPT,Department Offices,DO,E
EDEPT00404,1010,1130,4,Faulkner,DEPT,Department Offices Admin,DOA,E
EDEPT00504,1250,1300,4,Faulkner,DEPT,Administration,Admin,E
EDEPT00604,1560,1135,4,Faulkner,DEPT,Surgery Department,Surg,E
EDEPT00704,1580,1300,4,Faulkner,DEPT,Primary Care Physicians,PCP,E
EDEPT00804,1860,1177,4,Faulkner,DEPT,HR,HR,E
EDEPT00904,2111,1130,4,Faulkner,DEPT,Foot and Ankle Center,FaAC,E
EDEPT01004,2111,1275,4,Faulkner,DEPT,BWH Plastics,BWH,E
EDEPT01104,1313,1040,4,Faulkner,DEPT,Lung Research,Lung,E
EDEPT01204,1145,900,4,Faulkner,DEPT,MOHS Clinic,MOHS,E
EDEPT01304,1350,808,4,Faulkner,DEPT,Pulmonary Services,Pulmo,E
EDEPT01404,1350,700,4,Faulkner,DEPT,Neurology,Neuro,E
EDEPT01504,1140,625,4,Faulkner,DEPT,BD Cardiology,BD Cardio,E
EDEPT01604,1050,450,4,Faulkner,DEPT,Cardiology,Cardio,E
EDEPT01704,1450,445,4,Faulkner,DEPT,Rheumatology Center,Rheumo,E
EDEPT01804,1450,350,4,Faulkner,DEPT,HVMA Neurology,HVMA Neuro,E
EDEPT01904,1370,205,4,Faulkner,DEPT,Gastroentology Associates,Gastro,E
EDEPT02004,1090,250,4,Faulkner,DEPT,HVMA Internal Medicine,HVMA Neuro,E
ELABS00104,1470,1170,4,Faulkner,LABS,PATSAFE,PATSAFE,E
ELABS00204,1690,1160,4,Faulkner,LABS,QUALIMP,QUALIMP,E
ELABS00304,1770,1160,4,Faulkner,LABS,SURGSPEC,SURGSPEC,E
ELABS00404,2200,1160,4,Faulkner,LABS,Spine FAC,SFAC,E
ELABS00504,2288,1160,4,Faulkner,LABS,IS,IS,E
ECONF00104,443,1306,4,Faulkner,CONF,Tynan Conferance Room,Tynan,E
ECONF00204,1095,1270,4,Faulkner,CONF,Sadowsky Conference Room,Sadowsky,E
ESERV00104,990,1290,4,Faulkner,SERV,Medical Library,ML,E
ESERV00204,1080,1270,4,Faulkner,SERV,Social Work,Social,E
ESERV00304,1866,1266,4,Faulkner,SERV,Compliance/Patient Relations 1,CPR1,E
ESERV00404,2030,1266,4,Faulkner,SERV,Compliance/Patient Relations 2,CPR2,E
ESERV00504,1920,1166,4,Faulkner,SERV,Finance 1,Fin1,E
ESERV00604,1920,1262,4,Faulkner,SERV,Finance 2,Fin2,E
ESERV00704,1970,1280,4,Faulkner,SERV,VP Clinical Service,VP,E
ESERV00804,2015,1142,4,Faulkner,SERV,Lockers,Lock,E
ESERV00904,2240,1264,4,Faulkner,SERV,Finance Office,Fin O,E
ESERV01004,1325,975,4,Faulkner,SERV,House keeping,HK,E
ESERV01104,1333,920,4,Faulkner,SERV,Nurse's Suite,Nurse,E
