edgeID,startNode,endNode
ACONF00102AHALL00102,ZCONF00102,ZHALL00102
ACONF00103AHALL00503,ZCONF00103,ZHALL00503
ACONF0010GAHALL0060G,ZCONF0010G,ZHALL0060G
ACONF0010GAHALL0070G,ZCONF0010G,ZHALL0070G
ACONF0010GAHALL0080G,ZCONF0010G,ZHALL0080G
ADEPT00101AHALL00401,ZDEPT00101,ZHALL00401
ADEPT00102AHALL00502,ZDEPT00102,ZHALL00502
ADEPT0010GAHALL0040G,ZDEPT0010G,ZHALL0040G
ADEPT0020GAHALL0110G,ZDEPT0020G,ZHALL0110G
AELEV00S01AELEV00S02,ZELEV00S01,ZELEV00S02
AELEV00S01AELEV00S03,ZELEV00S01,ZELEV00S03
AELEV00S01AHALL00801,ZELEV00S01,ZHALL00801
AELEV00S02AELEV00S03,ZELEV00S02,ZELEV00S03
AELEV00S02AHALL00402,ZELEV00S02,ZHALL00402
AELEV00S03AHALL00103,ZELEV00S03,ZHALL00103
AELEV00S0GAELEV00S01,ZELEV00S0G,ZELEV00S01
AELEV00S0GAELEV00S02,ZELEV00S0G,ZELEV00S02
AELEV00S0GAELEV00S03,ZELEV00S0G,ZELEV00S03
AELEV00S0GAHALL0090G,ZELEV00S0G,ZHALL0090G
AELEV00SL2AELEV00S01,ZELEV00SL2,ZELEV00S01
AELEV00SL2AELEV00S02,ZELEV00SL2,ZELEV00S02
AELEV00SL2AELEV00S03,ZELEV00SL2,ZELEV00S03
AELEV00SL2AELEV00S0G,ZELEV00SL2,ZELEV00S0G
AHALL00101AHALL00901,ZHALL00101,ZHALL00901
AHALL0010GAEXIT0010G,ZHALL0010G,ZEXIT0010G
AHALL001L2AELEV00SL2,ZHALL001L2,ZELEV00SL2
AHALL00201AHALL00101,ZHALL00201,ZHALL00101
AHALL00201AHALL00901,ZHALL00201,ZHALL00901
AHALL00202AHALL00102,ZHALL00202,ZHALL00102
AHALL00203AHALL00103,ZHALL00203,ZHALL00103
AHALL0020GAHALL0010G,ZHALL0020G,ZHALL0010G
AHALL0020GAHALL0060G,ZHALL0020G,ZHALL0060G
AHALL002L2AHALL001L2,ZHALL002L2,ZHALL001L2
AHALL002L2AEXIT001L2,ZHALL002L2,ZEXIT001L2
AHALL002L2AHALL003L2,ZHALL002L2,ZHALL003L2
AHALL00301AHALL00201,ZHALL00301,ZHALL00201
AHALL00302AHALL00202,ZHALL00302,ZHALL00202
AHALL00303AHALL00203,ZHALL00303,ZHALL00203
AHALL003L2AHALL004L2,ZHALL003L2,ZHALL004L2
AHALL00401AHALL00301,ZHALL00401,ZHALL00301
AHALL00401AHALL00801,ZHALL00401,ZHALL00801
AHALL00402AHALL00302,ZHALL00402,ZHALL00302
AHALL00403AHALL00303,ZHALL00403,ZHALL00303
AHALL0040GAHALL0120G,ZHALL0040G,ZHALL0120G
AHALL004L2ALABS001L2,ZHALL004L2,ZLABS001L2
AHALL00501AHALL00401,ZHALL00501,ZHALL00401
AHALL00502AHALL00402,ZHALL00502,ZHALL00402
AHALL00503AHALL00403,ZHALL00503,ZHALL00403
AHALL0050GAHALL0010G,ZHALL0050G,ZHALL0010G
AHALL00601ADEPT00201,ZHALL00601,ZDEPT00201
AHALL00601AHALL00501,ZHALL00601,ZHALL00501
AHALL00602AHALL00102,ZHALL00602,ZHALL00102
AHALL00602WHALL01002,ZHALL00602,WHALL01002
AHALL00603AHALL00503,ZHALL00603,ZHALL00503
AHALL0060GAHALL0150G,ZHALL0060G,ZHALL0150G
AHALL00701ADEPT00301,ZHALL00701,ZDEPT00301
AHALL00701AHALL00501,ZHALL00701,ZHALL00501
AHALL0070GAHALL0050G,ZHALL0070G,ZHALL0050G
AHALL00801AHALL00301,ZHALL00801,ZHALL00301
AHALL0080GAHALL0060G,ZHALL0080G,ZHALL0060G
AHALL0080GAHALL0140G,ZHALL0080G,ZHALL0140G
AHALL00901AHALL01001,ZHALL00901,ZHALL01001
AHALL0090GAHALL0140G,ZHALL0090G,ZHALL0140G
AHALL01001AHALL00101,ZHALL01001,ZHALL00101
AHALL01001AHALL00201,ZHALL01001,ZHALL00201
AHALL01001ASTAI00101,ZHALL01001,ZSTAI00101
AHALL0100GAHALL0080G,ZHALL0100G,ZHALL0080G
AHALL0110GAHALL0100G,ZHALL0110G,ZHALL0100G
AHALL0120GAHALL0130G,ZHALL0120G,ZHALL0130G
AHALL0130GAHALL0020G,ZHALL0130G,ZHALL0020G
AHALL0140GAINFO0020G,ZHALL0140G,ZINFO0020G
AINFO0010GAHALL0090G,ZINFO0010G,ZHALL0090G
AINFO001L2AHALL002L2,ZINFO001L2,ZHALL002L2
AINFO0020GAHALL0070G,ZINFO0020G,ZHALL0070G
ALABS00103AHALL00203,ZLABS00103,ZHALL00203
ALABS00203AHALL00303,ZLABS00203,ZHALL00303
AREST00101AHALL00901,ZREST00101,ZHALL00901
AREST00103AHALL00603,ZREST00103,ZHALL00603
ARETL00101AHALL00101,ZRETL00101,ZHALL00101
ASTAI00101AHALL00201,ZSTAI00101,ZHALL00201
ASTAI00101AHALL00101,ZSTAI00101,ZHALL00101
ASTAI00101ASTAI0010G,ZSTAI00101,ZSTAI0010G
ASTAI00102AHALL00202,ZSTAI00102,ZHALL00202
ASTAI00102ASTAI00101,ZSTAI00102,ZSTAI00101
ASTAI0010GAHALL0020G,ZSTAI0010G,ZHALL0020G
BCONF00102BHALL03402,BCONF00102,BHALL03402
BDEPT00102BHALL03802,BDEPT00102,BHALL03802
BDEPT00202BHALL03402,BDEPT00202,BHALL03402
BDEPT00302WELEV00J02,BDEPT00302,WELEV00J02
BDEPT00402BHALL00602,BDEPT00402,BHALL00602
BDEPT00602BHALL03302,BDEPT00602,BHALL03302
BDEPT00702BHALL01702,BDEPT00702,BHALL01702
BDEPT00802BSTAI00602,BDEPT00802,BSTAI00602
BDEPT00902BHALL01402,BDEPT00902,BHALL01402
BDEPT00902WELEV00E02,BDEPT00902,WELEV00E02
BHALL00102BHALL00202,BHALL00102,BHALL00202
BHALL00102BSTAI01002,BHALL00102,BSTAI01002
BHALL00202BHALL00502,BHALL00202,BHALL00502
BHALL00202BSTAI00202,BHALL00202,BSTAI00202
BHALL00302BHALL03402,BHALL00302,BHALL03402
BHALL00302WELEV00K02,BHALL00302,WELEV00K02
BHALL00402BHALL03102,BHALL00402,BHALL03102
BHALL00402BLABS00102,BHALL00402,BLABS00102
BHALL00402BREST00302,BHALL00402,BREST00302
BHALL00502BDEPT00302,BHALL00502,BDEPT00302
BHALL00502BDEPT00402,BHALL00502,BDEPT00402
BHALL00502WELEV00J02,BHALL00502,WELEV00J02
BHALL00602BHALL00702,BHALL00602,BHALL00702
BHALL00602BHALL01802,BHALL00602,BHALL01802
BHALL00602BREST00202,BHALL00602,BREST00202
BHALL00702BHALL01002,BHALL00702,BHALL01002
BHALL00702BHALL01502,BHALL00702,BHALL01502
BHALL00802BSTAI00302,BHALL00802,BSTAI00302
BHALL00902BHALL03702,BHALL00902,BHALL03702
BHALL01002BHALL01602,BHALL01002,BHALL01602
BHALL01102BHALL01002,BHALL01102,BHALL01002
BHALL01102BHALL01202,BHALL01102,BHALL01202
BHALL01102BHALL02302,BHALL01102,BHALL02302
BHALL01202BHALL01302,BHALL01202,BHALL01302
BHALL01202BSTAI00502,BHALL01202,BSTAI00502
BHALL01202WELEV00G02,BHALL01202,WELEV00G02
BHALL01302BDEPT00802,BHALL01302,BDEPT00802
BHALL01302BINFO00202,BHALL01302,BINFO00202
BHALL01402WHALL00102,BHALL01402,WHALL00102
BHALL01802BDEPT00502,BHALL01802,BDEPT00502
BHALL01902BDEPT00502,BHALL01902,BDEPT00502
BHALL01902BHALL02002,BHALL01902,BHALL02002
BHALL01902BHALL04102,BHALL01902,BHALL04102
BHALL02002BHALL02102,BHALL02002,BHALL02102
BHALL02002BHALL04202,BHALL02002,BHALL04202
BHALL02102BSERV00102,BHALL02102,BSERV00102
BHALL02202BHALL02102,BHALL02202,BHALL02102
BHALL02202BHALL02302,BHALL02202,BHALL02302
BHALL02302BINFO00102,BHALL02302,BINFO00102
BHALL02502BHALL02602,BHALL02502,BHALL02602
BHALL02602BHALL01402,BHALL02602,BHALL01402
BHALL02602BHALL02702,BHALL02602,BHALL02702
BHALL02702BHALL02802,BHALL02702,BHALL02802
BHALL03002BHALL03302,BHALL03002,BHALL03302
BHALL03002BREST00502,BHALL03002,BREST00502
BHALL03002BSTAI00702,BHALL03002,BSTAI00702
BHALL03102BHALL03302,BHALL03102,BHALL03302
BHALL03102BSTAI00802,BHALL03102,BSTAI00802
BHALL03502BHALL00302,BHALL03502,BHALL00302
BHALL03502BHALL00402,BHALL03502,BHALL00402
BHALL03602BHALL03802,BHALL03602,BHALL03802
BHALL03702BHALL03602,BHALL03702,BHALL03602
BHALL04102BHALL04202,BHALL04102,BHALL04202
BHALL04102WELEV00H02,BHALL04102,WELEV00H02
