x1,y1,x2,y2,nodeID
606,487,868,1006,ADEPT01401
855,527,961,802,ADEPT01401
891,904,1159,1053,ADEPT00401
961,847,1224,893,ADEPT00401
1163,902,1226,1008,ADEPT00401
1130,1063,1160,1114,ADEPT00401
1139,1131,1175,1182,AELEV00Y01
1177,1027,1218,1072,ASTAI00201
1274,991,1381,1090,ADEPT00701
1330,1129,1370,1184,NELEV00Z01
1274,959,1376,983,ASERV00201
1341,898,1384,947,ASERV00201
1276,895,1320,951,ALABS00301
1275,840,1329,889,ALABS00201
974,644,1072,711,IDEPT01301
1010,534,1092,636,ALABS00601
1083,674,1136,717,ALABS00101
977,725,1233,802,ALABS00101
1147,528,1236,719,ADEPT00501
1272,533,1379,804,SDEPT00601
1423,1127,2004,1281,ALABS00401
2013,1206,2325,1289,ALABS00401
2033,1133,2320,1199,ADEPT01201
2028,1131,2321,1199,ADEPT01201
1419,857,1569,1081,ADEPT01001
1557,755,1761,1084,ADEPT01001
1762,850,1867,1086,ADEPT01001
1856,852,2052,1087,ADEPT01101
2049,875,2101,1083,ADEPT01101
2101,927,2220,1085,ADEPT01101
2220,947,2297,1088,ADEPT01101
1741,753,2292,836,ADEPT00901
2051,842,2293,867,ADEPT00901
2103,868,2297,911,ADEPT00901
1525,455,2039,721,ADEPT00801
1420,539,1557,719,ADEPT00801
885,361,1078,491,IDEPT00201
978,285,1129,373,IDEPT00201
1081,364,1133,436,IDEPT00201
1087,457,1135,493,IREST00301
1150,457,1227,493,IREST00501
1170,367,1208,444,AELEV00X01
1269,454,1343,499,SREST00601
1291,332,1343,422,ISTAI00101
1281,276,1337,323,ASTAI00501
1351,424,1450,500,IDEPT01501
1348,301,1542,426,IDEPT01501
1416,754,1554,854,IDEPT00301
2329,1175,2369,1286,ASTAI00301
978,258,1155,463,LDEPT00402
1164,361,1206,437,LELEV00X02
1296,331,1340,422,LSTAI00202
1362,255,1526,474,LDEPT00702
632,482,1074,630,LSERV00402
1050,636,1079,711,LSERV00402
579,492,627,546,LSERV00402
527,544,565,568,LSERV00402
1085,483,1382,714,LRETL00202
1382,511,1415,604,LRETL00202
1386,701,1416,795,LRETL00202
763,641,1041,790,LDEPT00502
765,792,906,842,LDEPT00502
635,669,734,742,LSERV00602
636,752,728,911,LDEPT00102
916,797,1021,846,LSERV00102
761,852,1030,1027,LSERV00102
875,1035,1024,1120,LSERV00102
761,1035,859,1180,LDEPT00202
637,949,721,1118,LSERV00202
122,982,622,1283,LSERV00502
342,1287,525,1350,LSERV00502
625,1128,665,1284,LSERV00502
1051,719,1074,790,LSERV00302
1031,803,1089,1113,LSERV00302
1077,807,1194,1115,LSERV00302
1189,727,1389,1073,LSERV00302
1373,903,1415,981,LSERV00302
1130,1121,1175,1181,LELEV00Y02
1322,1083,1365,1173,LELEV00Z02
