nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
DINFO00202,3490,825,5,15 Francis,INFO,Security Desk Thorn,Security Desk,Z
DLABS00102,3830,775,5,15 Francis,LABS,MRI Associates Lab,MRI Associates,Z
DREST00102,4125,625,5,15 Francis,REST,Restroom,Restroom B,Z
DREST00202,3894,694,5,15 Francis,REST,Restroom,Restroom C,Z
DREST00302,3662,827,5,15 Francis,REST,Restroom,Restroom C-D,Z
DREST00402,3532,865,5,15 Francis,REST,Restroom,Restroom D,Z
DRETL00102,4270,480,5,15 Francis,RETL,Pats Place,Pats Place,Z
DSTAI00102,4650,675,5,15 Francis,STAI,Staircase1 Floor2,Staircase1,Z
DSTAI00202,4320,550,5,15 Francis,STAI,Staircase2 Floor2,Staircase2,Z
DSTAI00302,4259,441,5,15 Francis,STAI,Staircase3 Floor2,Staircase3,Z
DSTAI00402,4177,612,5,15 Francis,STAI,Staircase4 Floor2,Staircase4,Z
DSTAI00502,4065,630,5,15 Francis,STAI,Staircase5 Floor2,Staircase5,Z
DSTAI00602,3952,868,5,15 Francis,STAI,Staircase6 Floor2,Staircase6,Z
DSTAI00702,3853,571,5,15 Francis,STAI,Staircase7 Floor2,Staircase7,Z
DSTAI00802,3535,645,5,15 Francis,STAI,Staircase8 Floor2,Staircase8,Z
EDEPT00101,2310,872,4,45 Francis,DEPT,Waiting Room 1,Wait 1,Z
EDEPT00201,3102,872,4,45 Francis,DEPT,Wound and Ambulatory Department,WCCAT 1,Z
EDEPT00301,3204,865,4,45 Francis,DEPT,Ocupational Health Department,Ocupational 1,Z
EDEPT00401,2790,1409,4,45 Francis,DEPT,Rehabilitation Services,Rehab 1,Z
EEXIT00101,2275,785,4,45 Francis,EXIT,Ambulance Parking Exit,AmbExit 1,Z
EEXIT00201,2950,705,4,45 Francis,EXIT,Exit 2,Exit 2,Z
EHALL00301,2240,910,4,45 Francis,HALL,Hallway Node 1 Floor 1,Hall 01,Z
EHALL00401,2275,910,4,45 Francis,HALL,Hallway Node 2 Floor 1,HallE02,Z
EHALL00501,2310,910,4,45 Francis,HALL,Hallway Node 3 Floor 1,HallE03,Z
EHALL00601,2389,910,4,45 Francis,HALL,Hallway Node 4 Floor 1,HallE04,Z
EHALL00701,2389,860,4,45 Francis,HALL,Hallway Node 5 Floor 1,HallE05,Z
EHALL00801,2460,910,4,45 Francis,HALL,Hallway Node 6 Floor 1,HallE06,Z
EHALL01101,2610,913,4,45 Francis,HALL,Hallway Node 9 Floor 1,HallE09,Z
EHALL01201,2610,950,4,45 Francis,HALL,Hallway Node 10 Floor 1,HallE10,Z
