nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
PDEPT01305,1332,1212,5,Faulkner,DEPT,Oncology Clinic west,DEPT014,P
PDEPT01405,2320,1233,5,Faulkner,DEPT,DEPT014,Oncology Clinic east,P
PDEPT01505,1077,1230,5,Faulkner,DEPT,Outpatient Infusion Center,DEPT016,P
PDEPT01605,1078,1191,5,Faulkner,DEPT,Residents,DEPT017,P
PDEPT01705,818,1191,5,Faulkner,DEPT,HemoDialysis,DEPT018,P
PDEPT01805,673,1212,5,Faulkner,DEPT,Intesive Care Unit/Critical Care Unit east,DEPT019,P
PDEPT01905,205,1219,5,Faulkner,DEPT,Intesive Care Unit/Critical Care Unit west,DEPT019,P
PELEV00X05,1208,414,5,Faulkner,ELEV,Elevator 1 Level 5,ELEVX,P
PELEV00Y05,1181,1157,5,Faulkner,ELEV,Elevator 2 Level 5,ELEVY,P
PELEV00Z05,1323,1157,5,Faulkner,ELEV,Elevator 3 Level 5,ELEVZ,P
PHALL03305,1145,479,5,Faulkner,HALL,Hall 1,HALL001,P
PHALL00105,1145,436,5,Faulkner,HALL,Hall 2,HALL002,P
PHALL00205,1145,310,5,Faulkner,HALL,Hall 3,HALL003,P
PHALL00305,1195,287,5,Faulkner,HALL,Hall 4,HALL004,P
PHALL00405,1250,281,5,Faulkner,HALL,Hall 5,HALL005,P
PHALL00505,1315,287,5,Faulkner,HALL,Hall 6,HALL006,P
PHALL00605,1355,311,5,Faulkner,HALL,Hall 7,HALL007,P
PHALL00705,1354,348,5,Faulkner,HALL,Hall 8,HALL008,P
PHALL00805,1355,451,5,Faulkner,HALL,Hall 9,HALL009,P
PHALL00905,1355,479,5,Faulkner,HALL,Hall 10,HALL010,P
PHALL01005,1250,414,5,Faulkner,HALL,Hall 11,HALL011,P
PHALL01105,1250,478,5,Faulkner,HALL,Hall 12,HALL012,P
PHALL01205,1250,518,5,Faulkner,HALL,Hall 13,HALL013,P
PHALL01305,1250,553,5,Faulkner,HALL,Hall 14,HALL014,P
PHALL01405,1250,611,5,Faulkner,HALL,Hall 15,HALL015,P
PHALL01505,1250,691,5,Faulkner,HALL,Hall 16,HALL016,P
PHALL01605,1250,750,5,Faulkner,HALL,Hall 17,HALL017,P
PHALL01705,1250,788,5,Faulkner,HALL,Hall 18,HALL018,P
PHALL01805,1250,847,5,Faulkner,HALL,Hall 19,HALL019,P
PHALL01905,1250,992,5,Faulkner,HALL,Hall 20,HALL020,P
PHALL02005,1250,1053,5,Faulkner,HALL,Hall 21,HALL021,P
PHALL02105,1250,1110,5,Faulkner,HALL,Hall 22,HALL022,P
PHALL02205,1257,1157,5,Faulkner,HALL,Hall 23,HALL023,P
PHALL02305,1257,1213,5,Faulkner,HALL,Hall 24,HALL024,P
PHALL02505,1217,1212,5,Faulkner,HALL,Hall 26,HALL026,P
PHALL02605,1181,1212,5,Faulkner,HALL,Hall 27,HALL027,P
PHALL02705,1077,1212,5,Faulkner,HALL,Hall 28,HALL028,P
PHALL02905,818,1212,5,Faulkner,HALL,Hall 30,HALL030,P
PHALL03005,722,1212,5,Faulkner,HALL,Hall 31,HALL031,P
PLABS00205,1231,992,5,Faulkner,LABS,X-Ray,LABS001,P
PREST00505,1217,1190,5,Faulkner,REST,Restroom A,RESTA,P
PSTAI00605,174,1219,5,Faulkner,STAI,Staircase A,STAIRA,P
PSTAI00105,722,1240,5,Faulkner,STAI,Staircase B,STAIRB,P
PSTAI00205,2342,1233,5,Faulkner,STAI,Staircase C,STAIRC,P
PSTAI00305,1221,1053,5,Faulkner,STAI,Staircase D,STAIRD,P
PSTAI00405,1290,415,5,Faulkner,STAI,Staircase E,STAIRE,P
ADEPT01401,916,831,1,Faulkner,DEPT,Emergency Department,Emergency Department,A
ADEPT00201,1403,500,1,Faulkner,DEPT,MRI/CT,MRI/CT,A
ADEPT00301,987,557,1,Faulkner,DEPT,AUD,AUD,A
ADEPT00401,939,892,1,Faulkner,DEPT,Endoscopy,,A
ADEPT00501,1156,564,1,Faulkner,DEPT,Cardiac Rehabilitation,Cardiac Rehabilitation,A
ADEPT00601,1272,554,1,Faulkner,DEPT,Pre-Operative Evaluation,Pre-Operative Evaluation,A
ADEPT00701,1311,1097,1,Faulkner,DEPT,QR MAT Management,QR MAT Management,A
ADEPT00801,1531,515,1,Faulkner,DEPT,Radiology,Radiology,A
ADEPT00901,1992,756,1,Faulkner,DEPT,Recovery,Recovery,A
ADEPT01001,1752,1072,1,Faulkner,DEPT,Operation Room Entrance 1,Operation Room Entrance 1,A
ADEPT01101,2244,1090,1,Faulkner,DEPT,Operation Room Entrance 2,Operation Room Entrance 2,A
ADEPT01201,2160,1133,1,Faulkner,DEPT,Operation Room,Operation Room,A
AELEV00X01,1208,414,1,Faulkner,ELEV,Elevator 1 Level 1,Elevator Intersection 1 Level 1,A
AELEV00Y01,1181,1157,1,Faulkner,ELEV,Elevator 2 Level 1,Elevator Intersection 2 Level 2,A
AEXIT00501,1256,144,1,Faulkner,EXIT,Atrium Main Entrance,,A
